date,station,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2008/1/2,ChungLi,NMHC,0.137,0.118,0.111,0.099,0.093,0.121,0.207,0.339,0.347,0.292,0.272,0.259,0.208,0.222,0.259,0.274,0.297,0.373,0.435,0.342,0.371,0.396,0.292,0.2
2008/1/2,ChungLi,NO,2.33,1.8,1.8,0.64,0.76,1.72,12.25,23.07,26.36,17.88,16.7,12.73,9.86,10.81,13.65,15.2,16.58,16.21,16.9,9.05,10.41,13.42,6.27,1.92
2008/1/2,ChungLi,NO2,14.51,13.76,12.21,11,11.52,15.05,27.02,33.59,34.05,27.34,24.7,22.45,19.94,21.17,24.86,26.98,30.2,33.8,38.27,30.83,32.81,31.82,24.81,17.2
2008/1/2,ChungLi,NOx,16.84,15.56,14.01,11.63,12.28,16.77,39.27,56.66,60.42,45.22,41.41,35.18,29.8,31.98,38.51,42.18,46.77,50.01,55.17,39.88,43.22,45.24,31.07,19.12
2008/1/2,ChungLi,O3,23.8,23.9,24.5,25.7,26.7,22.5,14,7.5,9.2,15.6,18.2,22,27.2,26.5,23.9,19.2,14,12.5,8.7,12.4,10,10.7,15,23.6
2008/1/2,ChungLi,PM10,70,82,88,90,92,102,83,70,88,101,113,97,82,83,88,100,103,92,85,93,74,63,68,55
2008/1/2,ChungLi,PM2.5,33,30,38,42,39,38,44,39,44,52,44,41,40,41,39,47,56,55,47,51,49,39,49,33
2008/1/2,ChungLi,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2008/1/2,ChungLi,RH,60.2,58.61,57.47,57.68,56.31,57.32,57.69,58.15,56.53,54.52,52.73,49.92,50.45,53.05,54.58,58.17,60.18,59.72,61.43,63.96,66.77,66.09,64.01,61.22
2008/1/2,ChungLi,SHELT_TEMP,26.59,26.65,26.59,26.66,26.67,26.65,26.64,26.72,26.76,26.56,26.64,26.55,27.05,27.13,27.28,27.65,26.9,26.73,26.71,26.63,26.62,26.62,26.44,26.59
2008/1/2,ChungLi,SO2,11.8,12.5,13.5,14.3,15.4,13.3,13,13.6,12.9,12.4,10.7,9.3,8.1,7.6,7.6,8,7.9,7.5,8.3,6.8,6.5,5.5,4.4,3.4
2008/1/2,ChungLi,THC,2.111,2.112,2.096,2.076,2.064,2.114,2.229,2.365,2.349,2.254,2.222,2.2,2.128,2.151,2.203,2.21,2.242,2.316,2.4,2.298,2.352,2.381,2.248,2.145
2008/1/2,ChungLi,WD_HR,46.91,58.73,60.36,76.54,63.37,58.67,42.99,67.44,63.39,89.15,75.96,84.6,75.7,82.2,80.65,76.99,77.07,66.13,58.2,73.04,52.42,65.88,70.87,63.28
2008/1/2,ChungLi,WIND_DIREC,345.2,49.44,58.55,70.52,61.43,54.39,70.21,72.87,79.94,115.35,63.2,83.97,91.1,78.67,50.43,107.2,72.95,67.48,75.64,67.71,57.29,44.02,111.49,58.58
2008/1/2,ChungLi,WIND_SPEED,2.02,2.69,2.7,3.4,2.83,2.39,2.25,2.89,3.31,2.99,2.27,3.23,4.28,3.79,2.97,3.14,3.23,3.27,3.35,3.36,3.01,1.98,3.23,2.77
2008/1/2,ChungLi,WS_HR,0.31,0.97,0.99,0.94,1.05,0.8,0.46,0.68,0.91,0.74,0.61,1,1.33,0.77,1.11,1.12,1.01,0.77,1.01,0.72,0.83,0.71,0.75,0.74
